gbifID,datasetKey,class,order,family,genus,species,year,month,day,decimalLongitude,decimalLatitude
3774893126,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2011,9,28,22.5275,39.8615
3774849251,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2011,11,25,21.1808,40.1927
3343755795,50c9509d-22c7-4a22-a47d-8c48425ef4a7,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2021,8,16,22.838629,40.636691
1609380842,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2012,,,22.375783,39.786075
1609380737,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2012,,,22.648708,39.560544
1609380094,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,1894,,,21.87,40.16
1609380026,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,1894,,,21.86,40.13
1609378931,6ec2600f-768a-4240-9575-0972fef6c76f,,Cypriniformes,Cyprinidae,Alburnus,Alburnus thessalicus,2000,,,22.8,39.5
3774891422,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus vistonicus,2005,5,28,25.1949,41.0242
3774916394,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Cypriniformes,Cyprinidae,Alburnus,Alburnus volviticus,2005,5,27,23.5385,40.6853
1609380348,6ec2600f-768a-4240-9575-0972fef6c76f,,Clupeiformes,Clupeidae,Alosa,Alosa fallax,2006,,,24.803722,40.849072
1262937132,c2e3081a-ba91-40cf-b2df-9885a24b37dc,,Clupeiformes,Clupeidae,Alosa,Alosa fallax,2012,11,28,22.73333,40.28333
1262936844,c2e3081a-ba91-40cf-b2df-9885a24b37dc,,Clupeiformes,Clupeidae,Alosa,Alosa fallax,2012,12,1,22.86666,40.31666
5868981192,8a863029-f435-446a-821e-275f4f641165,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2025,9,7,25.986299,35.185154
5868956442,8a863029-f435-446a-821e-275f4f641165,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2025,8,20,25.372469,37.479282
5185995572,6aca6910-1f48-434d-ba57-a4a639ede7d9,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,1902,,,27.3,36.88333
5014846907,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2017,9,5,24.926132,37.850864
3774910742,9c0c7f86-142f-43e0-9162-3d1284cef41e,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2011,9,23,20.478,39.242
3350042452,d8cd16ba-bb74-4420-821e-083f2bac17c2,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2009,8,22,23.62,40.65
2841097599,8a863029-f435-446a-821e-275f4f641165,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2018,5,2,26.304511,39.195677
2834514975,8a863029-f435-446a-821e-275f4f641165,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2019,4,1,28.216352,36.424577
2250562205,040c5662-da76-4782-a48e-cdea1892d14c,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2009,7,23,23.6167,40.65
1801440106,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2007,,,20.75667,38.97834
1801440070,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2006,,,20.769678,39.045914
1801440048,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2007,,,20.809383,38.977424
1801440006,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2006,,,20.8154,38.9639
1801439992,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2011,,,20.7468,39.0124
1801439938,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2006,,,20.829919,38.969465
1801439907,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2009,,,20.773042,38.997259
1801439882,732da5a9-a89a-4764-a2fb-cb19fbb52eb5,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2005,,,20.819867,38.976728
1609381010,6ec2600f-768a-4240-9575-0972fef6c76f,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2012,,,21.796336,37.774603
1609380997,6ec2600f-768a-4240-9575-0972fef6c76f,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2012,,,21.698578,37.292469
1609380992,6ec2600f-768a-4240-9575-0972fef6c76f,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2012,,,21.263636,38.581533
1609380988,6ec2600f-768a-4240-9575-0972fef6c76f,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2012,,,21.245461,38.630883
1609380987,6ec2600f-768a-4240-9575-0972fef6c76f,,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,2012,,,21.365975,37.895186
